,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
666,Titanic,1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",PG-13,Drama Romance,['194 min'],194,"1,091,533",$659.33M,7.8,75
667,Taste of Cherry,1997,An Iranian man drives his truck in search of someone who will quietly bury him under a cherry tree after he commits suicide.,Not Rated,Drama,['95 min'],95,"27,201",$0.31M,7.8,80
668,Fireworks,1997,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",103 min,Crime Drama Romance,"['Crime', 'Drama', 'Romance']",103,"29,193",$0.23M,7.8,^^^^^^
669,Gattaca,1997,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,PG-13,Drama Sci-Fi Thriller,['106 min'],106,"289,740",$12.34M,7.8,64
670,Breaking the Waves,1996,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",R,Drama,['159 min'],159,"64,670",$4.04M,7.8,76
671,Ed Wood,1994,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",R,Biography Comedy Drama,['127 min'],127,"170,577",$5.89M,7.8,70
672,Tombstone,1993,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",R,Action Biography Drama,['130 min'],130,"135,722",$56.51M,7.8,50
673,The Sandlot,1993,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",PG,Comedy Drama Family,['101 min'],101,"84,481",$32.42M,7.8,55
674,The Remains of the Day,1993,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,PG,Drama Romance,['134 min'],134,"69,852",$22.95M,7.8,86
675,Naked,1993,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,Not Rated,Comedy Drama,['131 min'],131,"36,990",$1.77M,7.8,84
676,The Fugitive,1993,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",PG-13,Action Crime Drama,['130 min'],130,"278,816",$183.88M,7.8,87
677,A Bronx Tale,1993,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,R,Crime Drama Romance,['121 min'],121,"133,864",$17.27M,7.8,80
678,Batman: Mask of the Phantasm,1993,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,PG,Animation Action Crime,['76 min'],76,"46,547",$5.62M,7.8,^^^^^^
679,Hard Boiled,1992,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,R,Action Crime Thriller,['128 min'],128,"48,608",*****,7.8,^^^^^^
680,The Double Life of Véronique,1991,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",R,Drama Fantasy Music,['98 min'],98,"45,320",$2.00M,7.8,86
681,Boyz n the Hood,1991,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",R,Crime Drama,['112 min'],112,"132,718",$57.50M,7.8,76
682,Misery,1990,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",R,Drama Thriller,['107 min'],107,"195,010",$61.28M,7.8,75
683,Awakenings,1990,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",PG-13,Biography Drama,['121 min'],121,"132,563",$52.10M,7.8,74
684,Glory,1989,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",R,Biography Drama History,['122 min'],122,"129,661",$26.83M,7.8,78
685,The Killer,1989,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,R,Action Crime Drama,['111 min'],111,"47,080",*****,7.8,82
686,Back to the Future Part II,1989,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",PG,Adventure Comedy Sci-Fi,['108 min'],108,"501,097",$118.50M,7.8,57
687,Mississippi Burning,1988,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,R,Crime Drama History,['128 min'],128,"94,533",$34.60M,7.8,65
688,Predator,1987,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,R,Action Adventure Sci-Fi,['107 min'],107,"386,770",$59.74M,7.8,45
689,Ferris Bueller's Day Off,1986,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",PG-13,Comedy,['103 min'],103,"335,192",$70.14M,7.8,61
690,The Goonies,1985,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,PG,Adventure Comedy Family,['114 min'],114,"255,131",$61.50M,7.8,62
691,The Color Purple,1985,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,PG-13,Drama,['154 min'],154,"82,250",$98.47M,7.8,78
692,The Breakfast Club,1985,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,R,Comedy Drama,['97 min'],97,"371,888",$45.88M,7.8,66
693,The Killing Fields,1984,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",R,Biography Drama History,['141 min'],141,"53,685",$34.70M,7.8,76
694,Ghostbusters,1984,Three former parapsychology professors set up shop as a unique ghost removal service.,PG,Action Comedy Fantasy,['105 min'],105,"372,682",$238.63M,7.8,71
695,The Right Stuff,1983,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",PG,Adventure Biography Drama,['193 min'],193,"59,412",$21.50M,7.8,91
696,The King of Comedy,1982,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",PG,Comedy Crime Drama,['109 min'],109,"96,160",$2.50M,7.8,73
697,E.T. the Extra-Terrestrial,1982,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,PG,Family Sci-Fi,['115 min'],115,"386,948",$435.11M,7.8,91
698,Kramer vs. Kramer,1979,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.",PG,Drama,['105 min'],105,"138,907",$106.26M,7.8,77
699,Days of Heaven,1978,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,PG,Drama Romance,['94 min'],94,"55,486",*****,7.8,93
700,The Outlaw Josey Wales,1976,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,PG,Western,['135 min'],135,"69,594",$31.80M,7.8,69
701,The Man Who Would Be King,1975,"Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.",PG,Adventure History War,['129 min'],129,"47,014",*****,7.8,91
702,The Conversation,1974,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",PG,Drama Mystery Thriller,['113 min'],113,"105,628",$4.42M,7.8,85
703,Fantastic Planet,1973,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",PG,Animation Sci-Fi,['72 min'],72,"28,075",$0.19M,7.8,73
704,The Day of the Jackal,1973,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",PG,Crime Drama Thriller,['143 min'],143,"39,135",$16.06M,7.8,80
705,Badlands,1973,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,PG,Action Crime Drama,['94 min'],94,"69,652",*****,7.8,93
706,Cabaret,1972,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,PG,Drama Music Musical,['124 min'],124,"51,881",$42.77M,7.8,80
707,Willy Wonka & the Chocolate Factory,1971,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,G,Family Fantasy Musical,['100 min'],100,"188,133",$4.00M,7.8,67
708,Midnight Cowboy,1969,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",R,Drama,['113 min'],113,"106,354",$44.79M,7.8,79
709,Wait Until Dark,1967,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,Not Rated,Thriller,['108 min'],108,"29,165",$17.55M,7.8,81
710,Guess Who's Coming to Dinner,1967,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Approved,Comedy Drama,['108 min'],108,"42,056",$56.70M,7.8,63
711,Bonnie and Clyde,1967,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",R,Action Biography Crime,['111 min'],111,"108,042",*****,7.8,86
712,The Umbrellas of Cherbourg,1964,A young woman separated from her lover by war faces a life-altering decision.,Not Rated,Drama Musical Romance,['91 min'],91,"25,540",$0.03M,7.8,86
713,My Fair Lady,1964,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,G,Drama Family Musical,['170 min'],170,"90,601",$72.00M,7.8,95
714,Mary Poppins,1964,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",G,Comedy Family Fantasy,['139 min'],139,"163,462",$102.27M,7.8,88
715,The Longest Day,1962,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",G,Action Drama History,['178 min'],178,"53,848",$39.10M,7.8,75
716,Jules and Jim,1962,Decades of a love triangle concerning two friends and an impulsive woman.,Not Rated,Drama Romance,['105 min'],105,"39,555",*****,7.8,97
717,The Innocents,1961,A young governess for two children becomes convinced that the house and grounds are haunted.,Not Rated,Horror,['100 min'],100,"28,482",$2.62M,7.8,88
718,Breathless,1960,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",Not Rated,Crime Drama,['90 min'],90,"77,070",$0.34M,7.8,^^^^^^
719,The Quiet Man,1952,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",Passed,Comedy Drama Romance,['129 min'],129,"36,606",$10.55M,7.8,^^^^^^
720,The African Queen,1951,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",PG,Adventure Drama Romance,['105 min'],105,"75,832",$0.54M,7.8,91
721,Red River,1948,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Passed,Action Adventure Drama,['133 min'],133,"29,673",*****,7.8,^^^^^^
722,Key Largo,1948,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",Not Rated,Action Crime Drama,['100 min'],100,"38,909",*****,7.8,^^^^^^
